Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours), Calories_Burned ,Workout_Type,Water_Intake (liters),Workout_Frequency (days/week),BMI
19,Female,60.5,1.59,128,1.14, 730 ,Cardio,2.2,2,23.93
37,Male,124.2,1.76,158,1.5," 1,304 ",HIIT,2.8,2,40.1
45,Male,52.4,1.85,161,1.2, 956 ,Strength,2.5,3,15.31
24,Male,54.7,1.74,167,0.84, 772 ,Yoga,3.6,3,18.07
25,Male,88.1,1.95,131,1.41," 1,016 ",Cardio,3,2,23.17
52,Female,59.7,1.71,151,1.23, 836 ,Strength,2,3,20.42
31,Female,79.7,1.54,144,1.03, 742 ,Cardio,2.3,4,33.61
34,Female,51,1.62,158,1.42," 1,122 ",Yoga,2.4,3,19.43
53,Male,84.2,1.76,137,1.67," 1,133 ",Cardio,3.5,5,27.18
57,Male,122.1,1.89,134,1.13, 750 ,Cardio,3.6,3,34.18
21,Male,96.7,1.72,151,1.26," 1,046 ",Strength,2.8,3,32.69
19,Female,73,1.79,125,0.81, 506 ,HIIT,1.6,3,22.78
23,Male,114.8,1.6,163,1.47," 1,318 ",Cardio,2.7,4,44.84
59,Female,65.5,1.52,162,1.4," 1,021 ",Yoga,2.1,3,28.35
21,Female,50.3,1.52,154,1.08, 832 ,Cardio,2.6,3,21.77
46,Female,61,1.71,153,1.67," 1,150 ",Cardio,2.7,4,20.86
35,Female,44.6,1.62,157,0.56, 440 ,HIIT,2,2,16.99
43,Female,58.2,1.61,124,1.04, 580 ,Strength,2.6,3,22.45
51,Female,44.8,1.63,137,1.08, 666 ,Yoga,2.1,4,16.86
27,Male,87.5,1.63,135,1.75," 1,299 ",Strength,3.5,5,32.93
53,Male,51.8,1.74,127,1.23, 773 ,Strength,3.7,3,17.11
31,Female,64.4,1.7,144,1.97," 1,418 ",Strength,2.7,5,22.28
48,Female,67.1,1.61,151,0.62, 421 ,Cardio,1.5,2,25.89
32,Male,85.9,1.6,145,1.99," 1,587 ",HIIT,3.5,5,33.55
25,Female,65.4,1.77,141,0.89, 627 ,Cardio,2.6,3,20.88
31,Female,61.1,1.76,150,1.81," 1,358 ",Yoga,2.7,4,19.72
40,Male,106.5,1.65,162,1.32," 1,176 ",HIIT,3.6,4,39.12
57,Female,64,1.52,129,1.73," 1,004 ",Strength,2.7,5,27.7
38,Female,61.4,1.54,131,1.47, 963 ,HIIT,2.7,3,25.89
33,Female,40.5,1.63,147,1.07, 786 ,Yoga,1.5,4,15.24
35,Male,70.1,1.79,125,1.08, 743 ,Cardio,2.3,3,21.88
41,Male,94.1,1.62,139,1.13, 777 ,Cardio,3.1,4,35.86
43,Male,55.5,1.82,124,1.08, 663 ,Strength,2,3,16.76
42,Female,53.7,1.72,142,1.37, 875 ,Cardio,1.6,3,18.15
58,Female,66.1,1.75,128,0.63, 363 ,Cardio,1.8,2,21.58
46,Male,103.9,1.77,148,1.18, 864 ,Yoga,2.9,2,33.16
32,Female,61.7,1.58,135,1.87," 1,262 ",HIIT,2.7,5,24.72
18,Female,52.3,1.74,165,1.2, 990 ,Cardio,2.2,2,17.27
42,Female,59.5,1.74,141,1.78," 1,129 ",Yoga,2.7,5,19.65
24,Female,72.9,1.76,127,0.86, 546 ,Yoga,1.5,3,23.53
26,Female,76.7,1.63,139,1.08, 751 ,Strength,1.7,2,28.87
41,Male,72.1,1.83,133,1.13, 744 ,Yoga,2.8,3,21.53
18,Female,54.8,1.68,158,1.27," 1,003 ",Strength,2.2,4,19.42
25,Male,105,1.88,156,1.34," 1,150 ",Cardio,2.3,3,29.71
41,Female,55,1.55,169,1.45," 1,103 ",Strength,2,4,22.89
28,Male,81.6,1.66,153,1.09, 917 ,Yoga,3.5,4,29.61
34,Female,75.6,1.6,130,0.64, 416 ,HIIT,2.7,2,29.53
25,Male,81.5,1.61,159,1.93," 1,688 ",HIIT,3.5,4,31.44
52,Female,61.5,1.69,152,1.8," 1,231 ",Cardio,2.7,4,21.53
52,Male,74,1.63,150,1.26, 936 ,Cardio,3.7,3,27.85
50,Female,56.4,1.59,163,1.26, 924 ,HIIT,2.6,3,22.31
22,Male,102.6,1.84,153,1.25," 1,052 ",Strength,2.7,3,30.3
59,Female,54.6,1.57,169,0.58, 441 ,Cardio,2.3,3,22.15
56,Male,129,1.78,126,1.29, 805 ,Yoga,2.7,2,40.71
58,Male,103.5,1.66,168,1.33," 1,106 ",Cardio,3.1,3,37.56
45,Female,59.4,1.51,142,1.15, 735 ,Strength,1.9,4,26.05
24,Female,60.1,1.79,165,1.97," 1,625 ",Cardio,2.7,4,18.76
26,Male,77.7,1.62,126,1.16, 804 ,Yoga,3,3,29.61
25,Female,41.2,1.62,144,1.49," 1,073 ",Yoga,2.1,4,15.7
29,Male,58.6,1.61,122,1.2, 805 ,Yoga,2,3,22.61
51,Male,109.3,1.78,157,0.54, 420 ,Strength,3.3,3,34.5
50,Male,69.6,1.96,139,0.97, 667 ,Strength,2,3,18.12
40,Female,56.2,1.79,153,1.79," 1,369 ",Yoga,2.7,5,17.54
41,Male,71.7,1.96,168,0.51, 424 ,Yoga,2.5,2,18.66
54,Male,86,1.93,163,1.74," 1,404 ",Strength,3.5,5,23.09
52,Female,79.4,1.59,163,1.39," 1,020 ",Strength,1.5,3,31.41
57,Female,78.4,1.62,149,1.01, 677 ,Strength,2,4,29.87
39,Female,55.4,1.6,136,1.44, 979 ,HIIT,1.6,3,21.64
44,Female,61.7,1.55,129,1.41, 819 ,Strength,2.6,4,25.68
52,Male,85.5,1.82,154,1.78," 1,357 ",Yoga,3.5,4,25.81
18,Male,87.6,1.93,139,1.72," 1,315 ",HIIT,3.5,4,23.52
52,Male,82.4,1.72,137,1.01, 685 ,Strength,2.7,4,27.85
54,Male,67,1.68,164,0.55, 446 ,Yoga,2.8,3,23.74
31,Female,42.3,1.6,163,1.09, 888 ,Cardio,1.9,3,16.52
20,Male,82.7,1.99,146,1.69," 1,357 ",HIIT,3.5,5,20.88
18,Male,92.4,1.74,168,1.41," 1,303 ",Yoga,3.1,2,30.52
22,Female,63.2,1.54,155,1.02, 790 ,Cardio,2.4,4,26.65
43,Male,82.7,1.85,142,1.22, 858 ,Yoga,3.1,4,24.16
31,Male,86.6,1.76,151,1.29," 1,071 ",Strength,3.3,3,27.96
56,Male,129.5,1.95,129,1, 639 ,Strength,3.5,2,34.06
44,Male,98,1.83,130,1.28, 824 ,Cardio,3.5,4,29.26
26,Male,86.2,1.68,157,1.97," 1,701 ",Strength,3.5,5,30.54
32,Male,78.6,1.62,125,1.28, 880 ,Yoga,3.1,3,29.95
32,Female,59,1.66,160,0.51, 408 ,Cardio,1.8,2,21.41
43,Female,57.3,1.79,166,1.98," 1,479 ",Yoga,2.7,4,17.88
59,Male,122.3,1.89,153,0.66, 500 ,Yoga,3.1,3,34.24
30,Male,85.3,1.95,155,1.61," 1,373 ",Yoga,3.5,5,22.43
49,Female,45.2,1.74,156,1.24, 870 ,Strength,2.1,3,14.93
56,Male,55.6,1.92,136,0.68, 458 ,Strength,3.2,3,15.08
49,Male,82.8,1.95,159,1.91," 1,503 ",Yoga,3.5,5,21.78
21,Male,125.2,1.66,159,1.38," 1,207 ",HIIT,3.4,3,45.43
47,Female,58.5,1.79,131,1.42, 837 ,Yoga,2.4,4,18.26
54,Male,86.1,1.95,140,1.17, 811 ,Yoga,3.4,2,22.64
40,Female,63.5,1.61,159,1.31," 1,041 ",Cardio,1.6,3,24.5
56,Male,69.3,1.68,138,0.66, 451 ,Yoga,2.1,2,24.55
32,Female,70.5,1.62,122,1.24, 756 ,Strength,1.8,2,26.86
46,Female,60.1,1.65,137,1.69," 1,042 ",Cardio,2.7,4,22.08
53,Male,94.1,1.95,138,0.89, 608 ,HIIT,3.5,3,24.75
30,Female,79.2,1.62,166,1.26," 1,046 ",Cardio,2.5,4,30.18
49,Male,115.3,1.91,125,1.38, 854 ,HIIT,3.2,2,31.61
24,Female,62.9,1.79,135,1.42, 958 ,Cardio,2.3,4,19.63
39,Male,62,1.64,127,0.97, 678 ,Cardio,3.2,3,23.05
45,Male,88.5,1.78,167,1.53," 1,265 ",HIIT,3.5,4,27.93
19,Female,73.9,1.77,137,1.28, 877 ,Strength,2.6,3,23.59
59,Male,50.3,1.95,167,1.07, 885 ,Strength,3.4,3,13.23
23,Male,83.1,1.8,162,0.7, 624 ,Strength,3.1,3,25.65
45,Female,65.1,1.78,158,1.46," 1,038 ",Cardio,2.3,3,20.55
45,Male,46.6,1.79,168,1.46," 1,214 ",Yoga,2.4,3,14.54
37,Male,103.5,1.89,168,0.54, 499 ,Cardio,3.1,2,28.97
47,Female,61.9,1.54,131,1.95," 1,150 ",Yoga,2.7,4,26.1
28,Female,52,1.61,164,1.32," 1,082 ",Yoga,2,3,20.06
45,Male,113.4,1.71,129,0.83, 530 ,Strength,2.3,2,38.78
42,Male,62.9,1.98,126,1.42, 886 ,Yoga,3.4,4,16.04
56,Female,40.4,1.8,165,1.23, 913 ,Cardio,2.1,4,12.47
50,Female,67.1,1.75,120,0.67, 362 ,Cardio,2.7,3,21.91
18,Male,70,1.61,168,1.3," 1,201 ",Strength,2.5,2,27.01
44,Female,69.5,1.75,155,1.02, 711 ,HIIT,2.1,3,22.69
30,Male,107.9,1.66,140,1.08, 832 ,Cardio,2.8,3,39.16
58,Male,109,1.91,156,1.49," 1,151 ",Yoga,2.2,3,29.88
20,Male,101,1.91,143,1.36," 1,070 ",Cardio,2.7,3,27.69
56,Male,88.5,1.85,144,1.57," 1,119 ",Cardio,3.5,4,25.86
23,Male,80.9,1.8,126,1.55," 1,074 ",Cardio,3.5,4,24.97
25,Female,43.1,1.62,161,1.04, 837 ,HIIT,1.8,4,16.42
44,Female,59.1,1.52,136,1.58, 967 ,Yoga,2.7,5,25.58
26,Female,54,1.53,148,1.14, 844 ,Strength,1.7,3,23.07
54,Female,72.3,1.78,149,1.27, 852 ,Cardio,1.8,2,22.82
50,Male,51.1,1.98,126,0.92, 574 ,Yoga,2.4,2,13.03
59,Male,89.4,1.72,152,1.08, 813 ,Yoga,3.2,3,30.22
41,Male,51.5,1.8,126,1.09, 680 ,Strength,2.1,4,15.9
32,Male,87.9,1.88,143,1.52," 1,195 ",Cardio,3.5,5,24.87
49,Female,42,1.52,130,1.1, 644 ,HIIT,2.2,3,18.18
49,Male,79.2,1.72,128,1.46, 925 ,Yoga,3.3,3,26.77
41,Male,64.8,1.71,131,1.2, 778 ,Strength,2.8,3,22.16
58,Female,63,1.78,154,1.58," 1,095 ",HIIT,2.7,4,19.88
29,Female,56.2,1.77,123,0.68, 418 ,Yoga,2.6,3,17.94
56,Female,52.9,1.64,155,1.1, 767 ,Cardio,2.3,3,19.67
19,Female,49,1.69,147,1.05, 772 ,Yoga,2.4,3,17.16
20,Male,128.2,1.84,132,0.83, 603 ,HIIT,2.3,3,37.87
54,Male,83.6,1.86,142,1.54," 1,082 ",HIIT,3.5,5,24.16
34,Female,56.2,1.77,138,1.81," 1,249 ",Cardio,2.7,5,17.94
19,Male,87.8,1.78,161,1.28," 1,133 ",Cardio,3.3,2,27.71
19,Male,85.9,1.85,156,1.66," 1,424 ",Strength,3.5,4,25.1
45,Male,51.1,1.87,158,1.44," 1,126 ",Cardio,3.4,4,14.61
40,Female,57.4,1.71,143,1.87," 1,337 ",Strength,2.7,5,19.63
54,Male,114.9,1.92,135,1.2, 802 ,HIIT,2.6,4,31.17
49,Female,62.1,1.66,152,1.37, 937 ,HIIT,1.8,3,22.54
50,Male,57.1,1.91,131,1.09, 707 ,Yoga,2.7,4,15.65
18,Male,68.1,1.8,153,1.1, 926 ,Yoga,3.3,4,21.02
36,Male,69.2,1.65,126,1.23, 852 ,Strength,2.7,3,25.42
19,Female,65.2,1.52,130,1.23, 800 ,Cardio,2.4,3,28.22
43,Male,108.6,1.73,150,1.33, 988 ,Cardio,2.2,2,36.29
49,Female,40,1.65,148,1.03, 686 ,Yoga,2.5,3,14.69
23,Female,41.9,1.58,132,0.56, 370 ,HIIT,1.8,3,16.78
49,Female,68.3,1.52,150,1.45, 979 ,Strength,1.8,4,29.56
21,Male,88.4,1.6,121,1.71," 1,138 ",HIIT,3.5,4,34.53
28,Male,66,1.9,158,1.18," 1,025 ",HIIT,3,3,18.28
34,Male,71.9,1.64,134,1.26, 929 ,Cardio,2.1,4,26.73
55,Male,75.6,1.71,130,1.03, 663 ,Strength,2,4,25.85
41,Female,63.4,1.59,153,1.84," 1,267 ",HIIT,2.7,5,25.08
22,Female,71.6,1.77,158,1.49," 1,177 ",Yoga,1.8,3,22.85
51,Female,57.4,1.77,123,1.08, 598 ,Yoga,2.1,4,18.32
23,Male,83.8,1.99,130,1.79," 1,280 ",Cardio,3.5,4,21.16
39,Female,55.9,1.71,148,1.95," 1,443 ",Yoga,2.7,5,19.12
28,Male,87,1.76,121,1.2, 799 ,Yoga,3.5,3,28.09
33,Female,65.3,1.71,135,1.18, 796 ,HIIT,2.5,4,22.33
50,Male,45.4,1.67,158,1.37," 1,071 ",Yoga,2.8,4,16.28
26,Male,87.1,1.87,132,1.71," 1,241 ",Yoga,3.5,4,24.91
23,Female,78.6,1.73,156,1.47," 1,147 ",HIIT,1.5,4,26.26
33,Female,78,1.71,136,1.08, 734 ,Cardio,2.1,3,26.67
46,Female,58,1.53,140,1.83," 1,153 ",Cardio,2.7,4,24.78
20,Female,71.3,1.69,163,1.28," 1,043 ",Strength,2.3,3,24.96
37,Male,49.1,1.74,138,1.11, 842 ,Yoga,2.6,3,16.22
53,Female,78.3,1.65,126,1.24, 703 ,HIIT,1.6,3,28.76
36,Female,57.3,1.64,157,1.13, 887 ,Strength,1.8,4,21.3
43,Female,48.4,1.61,127,1.28, 732 ,Cardio,2.4,2,18.67
20,Male,76.4,1.62,132,1.35, 980 ,Cardio,2.6,4,29.11
36,Male,110.2,1.77,156,1.19," 1,021 ",HIIT,3.4,2,35.18
37,Female,72.9,1.76,121,1.21, 732 ,Strength,1.9,3,23.53
49,Male,82.1,1.86,160,1.87," 1,481 ",Strength,3.5,4,23.73
24,Female,58.9,1.76,130,0.63, 410 ,HIIT,1.7,3,19.01
58,Male,82.2,1.87,143,1.57," 1,111 ",HIIT,3.5,4,23.51
50,Male,96.7,1.72,125,1.46, 903 ,Strength,2.7,3,32.69
57,Male,81.4,1.86,145,1.8," 1,292 ",Cardio,3.5,5,23.53
56,Male,107.8,1.73,126,1.09, 680 ,Yoga,2.8,3,36.02
35,Female,65.8,1.62,158,1, 790 ,Cardio,1.5,4,25.07
57,Female,68.5,1.56,138,1.45, 900 ,HIIT,1.6,4,28.15
18,Female,63.9,1.59,125,1.87," 1,169 ",Strength,2.7,4,25.28
28,Male,76.3,1.62,162,1.16," 1,034 ",Strength,2.3,3,29.07
45,Female,44.5,1.65,148,1.44, 959 ,Yoga,1.6,3,16.35
42,Female,50.7,1.75,162,1.29, 940 ,Strength,1.9,3,16.56
40,Female,55.1,1.61,158,1.55," 1,224 ",Yoga,2.7,4,21.26
48,Male,73.7,1.61,121,1.36, 815 ,Cardio,3.6,4,28.43
47,Male,55.6,1.77,138,1.2, 820 ,Cardio,2.9,4,17.75
59,Male,86.9,1.76,123,1.13, 688 ,Strength,3.1,3,28.05
52,Female,60.3,1.68,125,1.6, 900 ,Strength,2.7,4,21.36
24,Female,40.4,1.64,168,0.99, 832 ,HIIT,1.9,2,15.02
33,Female,78.5,1.66,156,1.29," 1,006 ",HIIT,1.9,4,28.49
43,Male,102.6,1.72,147,0.82, 597 ,Strength,2,2,34.68
19,Male,110.8,1.91,149,1.31," 1,074 ",Strength,2.9,2,30.37
18,Female,60.9,1.79,126,1.11, 699 ,Cardio,2.1,2,19.01
29,Male,55.7,1.61,128,1.41, 993 ,Strength,2.3,3,21.49
22,Male,110.5,1.92,144,1.16, 919 ,HIIT,3.3,3,29.98
54,Male,55.2,1.71,152,0.77, 579 ,Cardio,2.8,2,18.88
49,Male,46.5,1.72,120,1.4, 832 ,Yoga,2.6,4,15.72
26,Female,70.9,1.66,125,0.81, 506 ,HIIT,1.7,3,25.73
58,Male,74.6,1.75,137,1.09, 739 ,HIIT,2.9,2,24.36
52,Male,45.1,1.72,129,0.93, 594 ,Cardio,3.3,2,15.24
36,Male,99.9,1.99,147,1.33," 1,075 ",Yoga,2.5,3,25.23
33,Male,117,1.61,130,1.04, 744 ,HIIT,2.4,3,45.14
20,Female,75.9,1.73,152,1.39," 1,056 ",Strength,2.1,4,25.36
37,Female,71.2,1.64,120,1.11, 666 ,HIIT,1.7,3,26.47
41,Male,78.8,1.72,132,1.01, 660 ,Cardio,3.1,4,26.64
50,Male,50.6,1.69,156,1.31," 1,012 ",Cardio,3,2,17.72
41,Male,82.5,1.79,139,1.69," 1,163 ",Cardio,3.5,4,25.75
28,Male,108.5,1.79,120,1.33, 878 ,HIIT,2.1,4,33.86
25,Male,49.9,1.98,122,1.15, 772 ,Yoga,2.1,3,12.73
53,Male,125.1,1.91,137,0.52, 353 ,Strength,3.1,2,34.29
55,Female,79.7,1.66,160,1.06, 763 ,Cardio,1.9,2,28.92
57,Male,126.8,1.63,133,0.96, 632 ,Yoga,2.1,2,47.72
37,Female,54.6,1.57,150,1.31, 982 ,Strength,2.4,3,22.15
52,Female,47.8,1.54,146,1.34, 880 ,Cardio,1.9,3,20.16
42,Male,97.9,1.91,136,1.01, 680 ,Strength,2.8,3,26.84
52,Female,63.1,1.54,165,1.36," 1,010 ",Strength,1.8,3,26.61
42,Female,72.4,1.69,148,1.07, 713 ,Yoga,2.3,3,25.35
46,Female,58.9,1.7,155,1.52," 1,060 ",Strength,2.7,4,20.38
35,Female,50.4,1.6,156,1.03, 803 ,Cardio,1.9,4,19.69
35,Female,64.2,1.59,145,1.63," 1,182 ",Yoga,2.7,5,25.39
19,Female,58.8,1.77,136,1.4, 952 ,HIIT,2.7,2,18.77
52,Male,105.2,1.62,141,1.36, 949 ,HIIT,3.2,3,40.09
33,Female,45.9,1.5,144,0.92, 662 ,Yoga,1.7,3,20.4
58,Female,65.2,1.63,121,1.12, 610 ,HIIT,2,3,24.54
53,Female,56.3,1.79,141,1.52, 964 ,Strength,2.7,5,17.57
50,Male,90,1.7,124,0.81, 497 ,Cardio,2.7,2,31.14
21,Female,60,1.7,123,1.97," 1,212 ",Strength,2.7,5,20.76
50,Male,51.5,1.71,155,1.48," 1,136 ",Yoga,2.9,2,17.61
31,Female,63.1,1.64,125,1.54, 962 ,Cardio,2.7,4,23.46
38,Male,91.5,1.77,140,0.8, 616 ,Yoga,3.4,2,29.21
37,Male,48.7,1.67,132,1.39," 1,009 ",Yoga,3,2,17.46
25,Female,57.8,1.56,156,1.35," 1,053 ",Yoga,1.6,3,23.75
24,Female,42,1.75,144,0.83, 598 ,Strength,2.3,3,13.71
20,Male,128.4,1.92,145,0.63, 502 ,Cardio,2,2,34.83
34,Female,74.2,1.57,158,1.47," 1,161 ",Cardio,2.4,3,30.1
50,Male,89.6,1.68,139,1.79," 1,232 ",Cardio,3.5,5,31.75
29,Male,125.9,2,152,1.36," 1,137 ",Strength,3.1,4,31.48
39,Male,105.5,1.99,133,0.81, 593 ,HIIT,2.5,2,26.64
39,Male,93.4,1.7,155,1.1, 938 ,Strength,2.5,4,32.32
47,Male,82.1,1.84,136,1.37, 922 ,Strength,3.4,4,24.25
55,Female,42.9,1.69,140,0.9, 567 ,Yoga,2.4,2,15.02
55,Male,128.4,1.68,165,1.13, 923 ,Cardio,2.6,4,45.49
25,Male,112.4,1.96,135,1.42," 1,054 ",Cardio,2.5,2,29.26
44,Female,77.7,1.79,165,1.41," 1,047 ",HIIT,2.2,3,24.25
44,Male,89.3,1.99,135,1.4, 936 ,HIIT,2,4,22.55
51,Female,70.3,1.55,139,1.4, 876 ,Yoga,1.6,3,29.26
38,Female,59.1,1.72,148,1.07, 792 ,Cardio,1.7,3,19.98
47,Female,49.9,1.69,147,1.48, 979 ,HIIT,1.7,3,17.47
50,Male,101.7,1.67,127,0.53, 333 ,HIIT,2.9,2,36.47
45,Male,93,1.91,143,1.03, 729 ,Cardio,3.7,3,25.49
50,Male,87.4,1.6,122,0.77, 465 ,Strength,3.1,2,34.14
22,Female,55.1,1.61,144,1.62," 1,166 ",HIIT,2.7,4,21.26
36,Male,123.7,1.69,138,1.3, 987 ,Cardio,2.1,4,43.31
21,Female,61.3,1.57,152,1.94," 1,474 ",HIIT,2.7,4,24.87
52,Male,72.3,1.94,121,1.46, 874 ,Yoga,2.9,3,19.21
34,Female,69.2,1.53,134,1.36, 911 ,HIIT,2.1,2,29.56
45,Male,81.4,1.61,141,1.14, 796 ,Cardio,2.2,4,31.4
47,Male,84.8,1.86,129,1.85," 1,181 ",HIIT,3.5,5,24.51
46,Male,55.1,1.72,137,1.43, 970 ,Yoga,3.6,3,18.62
23,Female,59,1.78,141,1.67," 1,177 ",Yoga,2.7,5,18.62
52,Female,64.9,1.51,165,1.83," 1,359 ",HIIT,2.7,4,28.46
58,Male,109.7,1.75,168,1.01, 840 ,HIIT,2.7,2,35.82
54,Male,78.4,1.9,146,0.81, 585 ,Yoga,3.7,2,21.72
41,Female,76.7,1.79,132,1.4, 832 ,Yoga,2,4,23.94
46,Female,63.1,1.61,152,1, 684 ,Strength,2.2,4,24.34
48,Female,62.9,1.58,124,1.98," 1,105 ",Strength,2.7,4,25.2
52,Male,85.6,1.74,145,1.84," 1,321 ",Yoga,3.5,4,28.27
50,Female,66.3,1.57,132,1.25, 742 ,HIIT,1.6,2,26.9
38,Male,61.3,1.97,146,1.37," 1,100 ",Cardio,2.8,3,15.8
49,Female,44.1,1.65,133,1.16, 694 ,HIIT,1.8,4,16.2
40,Male,63.8,1.62,143,1.3," 1,022 ",HIIT,3.4,2,24.31
50,Female,55.4,1.55,122,1.85," 1,016 ",Strength,2.7,4,23.06
20,Female,74.7,1.58,166,1.04, 863 ,Strength,2.4,3,29.92
35,Female,78,1.67,168,1.13, 949 ,Strength,2.5,4,27.97
42,Female,57.5,1.67,149,1.14, 764 ,Yoga,2.4,2,20.62
59,Female,60.7,1.73,154,1.03, 714 ,Yoga,2.5,3,20.28
48,Male,69,1.74,167,1.48," 1,223 ",HIIT,2.3,3,22.79
20,Female,75.8,1.78,133,1.42, 944 ,HIIT,2,4,23.92
57,Female,75.7,1.63,131,0.69, 407 ,Cardio,2.3,3,28.49
41,Female,71.2,1.64,147,1.42, 939 ,HIIT,2.3,3,26.47
49,Male,85,1.68,163,1.82," 1,468 ",HIIT,3.5,4,30.12
39,Female,63.6,1.56,148,1.22, 903 ,Strength,2.4,2,26.13
40,Male,73.2,1.94,162,0.81, 722 ,Strength,2.4,2,19.45
19,Female,48.3,1.52,136,0.96, 653 ,Strength,1.6,2,20.91
44,Female,42.8,1.78,159,1.49," 1,066 ",Strength,2.6,3,13.51
59,Male,88.1,1.76,168,1.35," 1,123 ",Strength,3,3,28.44
19,Female,72.4,1.75,140,1.2, 840 ,Cardio,1.7,4,23.64
43,Male,73.2,1.88,142,1.17, 822 ,Cardio,3.3,3,20.71
34,Male,110.5,1.86,139,1.42," 1,086 ",Cardio,3.6,2,31.94
57,Female,46.1,1.76,130,1.44, 842 ,Strength,1.7,3,14.88
50,Male,90.8,1.71,153,1.07, 810 ,Yoga,3.4,4,31.05
26,Female,59.3,1.51,129,1.7," 1,096 ",Strength,2.7,5,26.01
56,Female,45.1,1.73,129,0.83, 482 ,Strength,2.6,3,15.07
46,Male,45,1.77,162,1.48," 1,187 ",Cardio,3.6,3,14.36
59,Male,89.4,1.62,125,1.43, 885 ,Strength,3.6,3,34.06
43,Male,127.7,1.69,155,1.14, 875 ,Cardio,2.9,3,44.71
52,Male,70.9,1.72,143,1.31, 927 ,Strength,2.6,3,23.97
42,Female,49.2,1.5,131,1.15, 678 ,HIIT,1.5,3,21.87
41,Female,62.3,1.79,162,1.99," 1,451 ",Yoga,2.7,5,19.44
30,Male,64.1,1.87,142,0.64, 500 ,Yoga,2.1,2,18.33
24,Female,69.7,1.75,146,1.41," 1,029 ",Cardio,2,3,22.76
53,Female,56.9,1.59,164,1.49," 1,100 ",HIIT,2,3,22.51
37,Female,53,1.71,156,1.13, 881 ,Yoga,1.7,4,18.13
18,Female,72.7,1.55,125,0.84, 525 ,Cardio,2,3,30.26
